Modele,RMSE_train,RMSE_test,R2_train,R2_test,MAE_test
Régression Linéaire,0.1369,0.3188,0.8183,0.0572,0.2584
Random Forest,0.1027,0.2155,0.8977,0.5693,0.165
XGBoost,0.0105,0.2175,0.9989,0.5611,0.1542
XGBoost Régularisé,0.17,0.2111,0.7199,0.5868,0.1635
Régression Linéaire (top 30),0.2085,0.2344,0.5785,0.4903,0.1885
Random Forest (top 30),0.1029,0.2103,0.8974,0.5899,0.1632
XGBoost Régularisé (top 30),0.1734,0.2135,0.7083,0.5771,0.1656
