commune,annee,rendement_kg_ha,rendement_t_ha,precip_01_mm,temp_moy_01_c,temp_max_01_c,temp_min_01_c,humidite_01_pct,rayonnement_01,precip_02_mm,temp_moy_02_c,temp_max_02_c,temp_min_02_c,humidite_02_pct,rayonnement_02,precip_03_mm,temp_moy_03_c,temp_max_03_c,temp_min_03_c,humidite_03_pct,rayonnement_03,precip_04_mm,temp_moy_04_c,temp_max_04_c,temp_min_04_c,humidite_04_pct,rayonnement_04,precip_05_mm,temp_moy_05_c,temp_max_05_c,temp_min_05_c,humidite_05_pct,rayonnement_05,precip_06_mm,temp_moy_06_c,temp_max_06_c,temp_min_06_c,humidite_06_pct,rayonnement_06,precip_07_mm,temp_moy_07_c,temp_max_07_c,temp_min_07_c,humidite_07_pct,rayonnement_07,precip_08_mm,temp_moy_08_c,temp_max_08_c,temp_min_08_c,humidite_08_pct,rayonnement_08,precip_09_mm,temp_moy_09_c,temp_max_09_c,temp_min_09_c,humidite_09_pct,rayonnement_09,precip_10_mm,temp_moy_10_c,temp_max_10_c,temp_min_10_c,humidite_10_pct,rayonnement_10,precip_11_mm,temp_moy_11_c,temp_max_11_c,temp_min_11_c,humidite_11_pct,rayonnement_11,precip_12_mm,temp_moy_12_c,temp_max_12_c,temp_min_12_c,humidite_12_pct,rayonnement_12,precip_annuelle_mm,temp_moy_annuelle_c,temp_max_annuelle_c,temp_min_annuelle_c,humidite_moy_annuelle_pct,rayonnement_moyen_annuel,indice_stress_hydrique,type_sol,departement,precip_saison1_mm,precip_saison2_mm,precip_croissance_mm,amplitude_01_c,amplitude_02_c,amplitude_03_c,amplitude_04_c,amplitude_05_c,amplitude_06_c,amplitude_07_c,amplitude_08_c,amplitude_09_c,amplitude_10_c,amplitude_11_c,amplitude_12_c,amplitude_annuelle_c,stress_thermique_01,stress_thermique_02,stress_thermique_03,stress_thermique_04,stress_thermique_05,stress_thermique_06,stress_thermique_07,stress_thermique_08,stress_thermique_09,stress_thermique_10,stress_thermique_11,stress_thermique_12,nb_mois_stress_thermique,annee_normalisee,departement_encode,type_sol_encode
Gogounou,2003,1306.00235386426,1.30600235386426,0.31,25.07,37.14,12.45,22.66,19.86,1.4000000000000001,29.59,40.46,17.79,22.94,21.03,13.950000000000001,30.01,41.37,19.18,22.77,21.49,48.9,31.39,42.73,19.91,52.4,22.05,104.47,30.67,41.95,21.34,57.54,22.43,173.7,26.78,34.5,21.17,78.02,20.11,158.1,25.95,32.23,21.03,80.72,18.16,317.75,25.47,31.71,21.12,84.79,16.93,157.5,25.56,32.6,20.84,83.19,19.63,79.67,26.88,34.82,20.75,77.14,21.47,11.4,26.25,36.05,16.88,58.09,20.43,0.0,24.03,35.97,12.56,39.13,20.14,1067.15,27.30416666666667,42.73,12.45,56.61583333333332,20.31083333333333,0.357713279105321,Ferrugineux tropical,Alibori,499.12,248.57000000000002,991.1899999999999,24.69,22.67,22.189999999999998,22.819999999999997,20.610000000000003,13.329999999999998,11.199999999999996,10.59,11.760000000000002,14.07,19.169999999999998,23.409999999999997,18.042499999999993,1,1,1,1,1,0,0,0,0,0,1,1,7,0.0,0,2
Kandi,2003,1499.7905027933,1.4997905027933,0.0,24.68,36.93,11.76,26.71,20.36,0.84,29.43,40.04,17.01,23.45,21.42,13.950000000000001,29.94,41.07,18.99,23.48,22.11,43.5,31.53,43.13,19.39,51.39,22.63,112.53,30.71,42.04,21.11,57.01,22.82,160.5,26.77,34.67,21.24,78.22,19.95,166.78,25.87,32.09,21.09,81.29,19.21,353.71,25.39,31.37,21.04,85.31,17.09,136.2,25.6,32.76,20.94,83.3,20.36,61.38,26.84,35.03,20.71,76.88,21.62,6.9,26.21,35.6,15.93,55.77,20.52,0.0,23.96,35.69,12.26,38.8,20.4,1056.2900000000002,27.24416666666667,43.13,11.76,56.80083333333332,20.7075,0.34729044474376886,Ferrugineux tropical,Alibori,497.26,204.48,991.1,25.17,23.029999999999998,22.080000000000002,23.740000000000002,20.93,13.430000000000003,11.000000000000004,10.330000000000002,11.819999999999997,14.32,19.67,23.43,18.245833333333334,1,1,1,1,1,0,0,0,0,1,1,1,8,0.0,0,2
Karimama,2003,888.689407540393,0.8886894075403929,0.0,25.27,37.71,12.67,15.36,20.36,0.84,29.52,40.83,17.06,14.65,21.42,9.92,30.49,42.02,18.85,16.05,22.11,33.9,33.05,43.01,20.42,41.61,22.63,73.16,32.35,42.54,20.66,46.76,22.82,130.8,28.14,37.35,22.6,70.72,19.95,133.29999999999998,26.95,34.11,21.28,76.24,19.21,238.07999999999998,26.22,33.29,21.14,82.33,17.09,121.79999999999998,26.14,34.35,20.98,81.18,20.36,56.42,28.1,38.23,20.61,69.37,21.62,5.7,27.37,37.94,15.65,45.25,20.52,0.0,24.72,36.85,13.26,27.39,20.4,803.92,28.19333333333333,43.01,12.67,48.90916666666667,20.7075,0.2643154193814299,Ferrugineux tropical,Alibori,381.08,183.91999999999996,753.5599999999998,25.04,23.77,23.17,22.589999999999996,21.88,14.75,12.829999999999998,12.149999999999999,13.370000000000001,17.619999999999997,22.29,23.590000000000003,19.42083333333333,1,1,1,1,1,1,0,0,0,1,1,1,9,0.0,0,2
Malanville,2003,1073.02904564315,1.0730290456431502,0.0,24.96,37.92,12.24,21.06,20.62,0.56,29.6,40.49,16.67,18.91,21.52,14.569999999999999,30.27,41.49,19.02,20.16,21.89,35.4,32.78,44.05,19.78,45.17,22.49,85.25,31.8,42.84,21.03,51.57,23.11,142.79999999999998,27.7,36.36,22.27,74.22,20.51,147.56,26.68,33.67,21.66,78.3,19.8,305.34999999999997,25.95,32.4,21.21,84.02,17.54,119.7,26.06,33.21,21.32,81.94,19.8,50.529999999999994,27.88,37.45,21.03,71.25,22.02,4.8,27.19,37.55,15.03,48.64,20.83,0.0,24.37,36.7,12.28,33.54,20.34,906.52,27.936666666666667,44.05,12.24,52.39833333333333,20.8725,0.29569246418041273,Ferrugineux tropical,Alibori,425.58,175.03,851.19,25.68,23.82,22.470000000000002,24.269999999999996,21.810000000000002,14.09,12.010000000000002,11.189999999999998,11.89,16.42,22.519999999999996,24.42,19.215833333333336,1,1,1,1,1,1,0,0,0,1,1,1,9,0.0,0,2
Segbana,2003,2133.88398002305,2.13388398002305,0.0,24.51,37.01,11.2,30.68,20.16,0.84,29.29,39.87,16.35,24.48,21.04,13.64,30.02,41.23,18.67,24.32,20.84,44.1,31.64,42.83,18.85,51.07,22.01,119.03999999999999,31.02,41.81,21.45,55.79,22.39,154.5,26.9,34.72,21.48,78.07,20.31,172.98,26.0,32.21,21.22,81.06,18.8,366.11,25.47,31.55,21.23,85.25,16.79,130.5,25.71,32.59,21.15,83.09,19.11,57.35,26.83,35.04,20.85,77.44,21.36,5.7,25.98,34.88,14.78,56.42,20.77,0.0,23.74,34.69,11.3,40.46,20.24,1064.76,27.259166666666662,42.83,11.2,57.344166666666666,20.31833333333333,0.35678039569531367,Ferrugineux tropical,Alibori,504.26,193.54999999999998,1000.48,25.81,23.519999999999996,22.559999999999995,23.979999999999997,20.360000000000003,13.239999999999998,10.990000000000002,10.32,11.440000000000005,14.189999999999998,20.1,23.389999999999997,18.325,1,1,1,1,1,0,0,0,0,1,0,0,6,0.0,0,2
Abomey-Calavi,2003,896.951871657753,0.896951871657753,44.949999999999996,27.05,32.45,20.2,77.41,17.08,24.92,28.21,33.09,25.12,81.23,18.44,20.77,28.34,32.94,25.55,80.44,17.34,231.9,27.42,31.62,24.29,86.3,18.28,103.23,27.21,30.4,24.96,86.69,17.6,231.0,25.63,28.82,22.79,89.08,14.38,146.63000000000002,24.59,27.74,22.03,88.97,17.1,62.62,24.82,28.38,22.01,86.86,16.66,230.1,25.4,29.67,23.01,89.0,16.7,174.84,26.27,29.96,24.34,89.23,17.59,45.6,26.79,30.68,23.97,85.7,17.92,11.47,26.57,30.68,20.95,78.56,18.18,1328.0299999999997,26.524999999999995,33.09,20.2,84.95583333333333,17.2725,0.5234678583805468,Ferrallitique,Atlantique,733.5300000000001,450.54,948.4200000000001,12.250000000000004,7.970000000000002,7.389999999999997,7.330000000000002,5.439999999999998,6.030000000000001,5.709999999999997,6.369999999999997,6.66,5.620000000000001,6.710000000000001,9.73,7.267499999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1
Allada,2003,798.67143587123,0.7986714358712299,22.94,27.23,33.39,18.63,76.54,17.08,17.92,28.56,35.27,24.89,78.77,18.44,25.419999999999998,28.73,35.09,25.27,77.78,17.34,138.0,27.81,33.5,24.15,83.44,18.28,92.07000000000001,27.44,31.92,24.86,84.68,17.6,273.29999999999995,25.55,29.11,22.18,89.28,14.38,199.32999999999998,24.55,28.07,21.5,89.08,17.1,78.12,24.6,28.78,21.26,88.01,16.66,189.60000000000002,25.34,30.09,22.34,89.08,16.7,148.18,26.16,30.57,23.6,89.9,17.59,37.5,26.66,31.04,23.66,86.41,17.92,20.77,26.24,30.83,19.16,79.27,18.18,1243.15,26.5725,35.27,18.63,84.35333333333334,17.2725,0.4900108191424718,Ferrallitique,Atlantique,728.1199999999999,375.28000000000003,980.5999999999999,14.760000000000002,10.380000000000003,9.820000000000004,9.350000000000001,7.060000000000002,6.93,6.57,7.52,7.75,6.969999999999999,7.379999999999999,11.669999999999998,8.846666666666668,0,1,1,0,0,0,0,0,0,0,0,0,2,0.0,2,1
Kpomasse,2003,965.013742556113,0.965013742556113,22.94,27.23,33.39,18.63,76.54,17.08,17.92,28.56,35.27,24.89,78.77,18.44,25.419999999999998,28.73,35.09,25.27,77.78,17.34,138.0,27.81,33.5,24.15,83.44,18.28,92.07000000000001,27.44,31.92,24.86,84.68,17.6,273.29999999999995,25.55,29.11,22.18,89.28,14.38,199.32999999999998,24.55,28.07,21.5,89.08,17.1,78.12,24.6,28.78,21.26,88.01,16.66,189.60000000000002,25.34,30.09,22.34,89.08,16.7,148.18,26.16,30.57,23.6,89.9,17.59,37.5,26.66,31.04,23.66,86.41,17.92,20.77,26.24,30.83,19.16,79.27,18.18,1243.15,26.5725,35.27,18.63,84.35333333333334,17.2725,0.4900108191424718,Ferrallitique,Atlantique,728.1199999999999,375.28000000000003,980.5999999999999,14.760000000000002,10.380000000000003,9.820000000000004,9.350000000000001,7.060000000000002,6.93,6.57,7.52,7.75,6.969999999999999,7.379999999999999,11.669999999999998,8.846666666666668,0,1,1,0,0,0,0,0,0,0,0,0,2,0.0,2,1
Ouidah,2003,879.56037246222,0.87956037246222,22.94,27.23,33.39,18.63,76.54,17.08,17.92,28.56,35.27,24.89,78.77,18.44,25.419999999999998,28.73,35.09,25.27,77.78,17.34,138.0,27.81,33.5,24.15,83.44,18.28,92.07000000000001,27.44,31.92,24.86,84.68,17.6,273.29999999999995,25.55,29.11,22.18,89.28,14.38,199.32999999999998,24.55,28.07,21.5,89.08,17.1,78.12,24.6,28.78,21.26,88.01,16.66,189.60000000000002,25.34,30.09,22.34,89.08,16.7,148.18,26.16,30.57,23.6,89.9,17.59,37.5,26.66,31.04,23.66,86.41,17.92,20.77,26.24,30.83,19.16,79.27,18.18,1243.15,26.5725,35.27,18.63,84.35333333333334,17.2725,0.4900108191424718,Ferrallitique,Atlantique,728.1199999999999,375.28000000000003,980.5999999999999,14.760000000000002,10.380000000000003,9.820000000000004,9.350000000000001,7.060000000000002,6.93,6.57,7.52,7.75,6.969999999999999,7.379999999999999,11.669999999999998,8.846666666666668,0,1,1,0,0,0,0,0,0,0,0,0,2,0.0,2,1
So-Ava,2003,854.771784232367,0.8547717842323671,44.949999999999996,27.05,32.45,20.2,77.41,17.08,24.92,28.21,33.09,25.12,81.23,18.44,20.77,28.34,32.94,25.55,80.44,17.34,231.9,27.42,31.62,24.29,86.3,18.28,103.23,27.21,30.4,24.96,86.69,17.6,231.0,25.63,28.82,22.79,89.08,14.38,146.63000000000002,24.59,27.74,22.03,88.97,17.1,62.62,24.82,28.38,22.01,86.86,16.66,230.1,25.4,29.67,23.01,89.0,16.7,174.84,26.27,29.96,24.34,89.23,17.59,45.6,26.79,30.68,23.97,85.7,17.92,11.47,26.57,30.68,20.95,78.56,18.18,1328.0299999999997,26.524999999999995,33.09,20.2,84.95583333333333,17.2725,0.5234678583805468,Autre,Atlantique,733.5300000000001,450.54,948.4200000000001,12.250000000000004,7.970000000000002,7.389999999999997,7.330000000000002,5.439999999999998,6.030000000000001,5.709999999999997,6.369999999999997,6.66,5.620000000000001,6.710000000000001,9.73,7.267499999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0
Toffo,2003,1061.47268408551,1.06147268408551,26.349999999999998,26.62,35.12,15.69,71.96,17.08,15.120000000000001,28.53,36.9,23.15,74.18,18.44,24.18,28.75,37.74,23.86,73.9,17.34,120.3,27.61,36.23,22.99,81.68,18.28,93.0,27.19,34.42,23.07,82.86,17.6,246.3,25.25,30.56,20.93,88.98,14.38,249.23999999999998,24.64,29.65,20.28,87.74,17.1,140.11999999999998,24.54,30.17,19.77,87.44,16.66,220.2,25.09,30.91,21.23,88.95,16.7,136.71,25.69,31.9,22.14,90.32,17.59,33.0,26.06,31.77,19.74,86.37,17.92,17.05,25.2,31.77,16.64,75.95,18.18,1321.57,26.264166666666664,37.74,15.69,82.52749999999999,17.2725,0.520921528579911,Ferrallitique,Atlantique,733.02,389.90999999999997,1085.57,19.43,13.75,13.880000000000003,13.239999999999998,11.350000000000001,9.629999999999999,9.369999999999997,10.400000000000002,9.68,9.759999999999998,12.030000000000001,15.129999999999999,12.304166666666665,1,1,1,1,0,0,0,0,0,0,0,0,4,0.0,2,1
Tori-Bossito,2003,766.578638497653,0.766578638497653,22.94,27.23,33.39,18.63,76.54,17.08,17.92,28.56,35.27,24.89,78.77,18.44,25.419999999999998,28.73,35.09,25.27,77.78,17.34,138.0,27.81,33.5,24.15,83.44,18.28,92.07000000000001,27.44,31.92,24.86,84.68,17.6,273.29999999999995,25.55,29.11,22.18,89.28,14.38,199.32999999999998,24.55,28.07,21.5,89.08,17.1,78.12,24.6,28.78,21.26,88.01,16.66,189.60000000000002,25.34,30.09,22.34,89.08,16.7,148.18,26.16,30.57,23.6,89.9,17.59,37.5,26.66,31.04,23.66,86.41,17.92,20.77,26.24,30.83,19.16,79.27,18.18,1243.15,26.5725,35.27,18.63,84.35333333333334,17.2725,0.4900108191424718,Ferrallitique,Atlantique,728.1199999999999,375.28000000000003,980.5999999999999,14.760000000000002,10.380000000000003,9.820000000000004,9.350000000000001,7.060000000000002,6.93,6.57,7.52,7.75,6.969999999999999,7.379999999999999,11.669999999999998,8.846666666666668,0,1,1,0,0,0,0,0,0,0,0,0,2,0.0,2,1
